Title,Company,Rating,Reviews,Experience,Salary,Location,Job_Description,Skill_1,Skill_2,Skill_3,Skill_4,Skill_5,Skill_6,Skill_7,Skill_8,Posted_On,Category,Exp_Min_Years,Salary_Mid_LPA,City
Deputy Manager - Data Analytics,Trent Limited - A TATA Enterprise,4.1,1130  Reviews,6-10 Yrs,15-18 Lacs PA,Mumbai,"Guides the auditors towards Audit objective by monitoring the scope, their findings and...",Azure Synapse,Azure Data Factory,Power Bi,Azure Data Lake,MS Purview,Data Validation,SSAS,Sap Bw/Bi,26 Days Ago,Data_Science_Analytics,6.0,16.5,Mumbai
Data Engineer - Business Intelligence Unit (Finance),Hdfc Bank,4.0,33763  Reviews,4-9 Yrs,5-12 Lacs PA,"Mumbai, Mumbai Suburban, Mumbai (All Areas)",Job Description 60% of job role will be into Process automation of various internal pro...,Power Bi,Mssql Dba,Tableau,Power Apps Development,Intelligence,Application,Data Engineering,Finance,26 Days Ago,Data_Science_Analytics,4.0,8.5,Mumbai
Manager / Sr. Associate - Global Interactions Support,Morgan Stanley,3.7,1260  Reviews,4-5 Yrs,Not disclosed,Mumbai,Highly analytical with good problem-solving skills and must have the ability to multi-t...,Sales,Data management,Business analysis,Business analytics,Analytical,Manager Technology,Data quality,data integrity,17 Days Ago,Data_Science_Analytics,4.0,,Mumbai
Associate - Fixed Income Research (Research),Morgan Stanley,3.7,1260  Reviews,1-4 Yrs,Not disclosed,Mumbai,". Masters degree or higher in a quantitative field such as Financial Mathematics, Stati...",Data analysis,Wealth management,Analytical,Fixed income,Investment banking,Investment management,Risk management,Econometrics,20 Days Ago,Data_Science_Analytics,1.0,,Mumbai
Senior Operations Data Analyst - Parametric,Morgan Stanley,3.7,1260  Reviews,6-11 Yrs,Not disclosed,Mumbai,"Bachelors Degree (4 year degree) in Computer Science / Engineering, or similar required...",Automation,Prototype,Wealth management,Reconciliation,Asset management,Investment banking,Investment management,Financial services,24 Days Ago,Data_Science_Analytics,6.0,,Mumbai
Associate - Data Strats (Research),Morgan Stanley,3.7,1260  Reviews,2-5 Yrs,Not disclosed,Mumbai,"To succeed in this role, you should be a self-starter, creative, and curious, with an i...",Unix,Wealth management,HTML,Investment banking,Investment management,MATLAB,Financial services,SQL,27 Days Ago,Data_Science_Analytics,2.0,,Mumbai
Senior Business Analyst,Broadridge,4.0,1043  Reviews,1-2 Yrs,Not disclosed,"Hyderabad, Bengaluru",Documenting and analyzing the required information and data to determine potential solu...,QA,Business Analyst,Coding,Client support,Sales process,Test cases,Management,RPM,3 Days Ago,Data_Science_Analytics,1.0,,Hyderabad
Data Analytics Manager,Deloitte,3.9,14256  Reviews,3-6 Yrs,Not disclosed,"Hyderabad, Bengaluru",Work youll doThe key job responsibilities will be to:Design and optimize MS SQL Server ...,Data Analytics,project Planning,MS SQL,machine learning,database structures,Analytics,Data,SQL,4 Days Ago,Data_Science_Analytics,3.0,,Hyderabad
ISC Analytics Specialist II,Honeywell,4.0,345  Reviews,3-5 Yrs,Not disclosed,"Greater Noida, Bengaluru",Basic Qualifications: . Bachelors degree . Minimum of 3 years of experience in Integrat...,Procurement,Supply chain,Business objects,SAP,Aerospace,Analytical,Project management,Subject Matter Expert,3 Days Ago,Data_Science_Analytics,3.0,,Greater Noida
Senior Associate,PwC Service Delivery Center,3.6,7216  Reviews,1-4 Yrs,Not disclosed,"Hyderabad, Bengaluru",Minimum Degree Required: Bachelor Degree and / or 5 years Equivalent Experience . Antic...,Supply chain,Change management,Leadership development,Managed services,Networking,Enterprise applications,Billing,Analytics,5 Days Ago,Data_Science_Analytics,1.0,,Hyderabad
"Looking For Presales Professional(SOW,Presentation,Power BI Dashboard)",Evalueserve,3.4,1027  Reviews,10-16 Yrs,Not disclosed,"Hybrid - Gurugram, Bengaluru",Developing inspiring visualizations that deliver a great story and that enable key busi...,presentation,sow,rfq,bi dashboard,rfp,Presales,Bi,Dashboards,5 Days Ago,Data_Science_Analytics,10.0,,Gurugram
AI/ML language Model Dev,HP India,4.2,582  Reviews,2-6 Yrs,Not disclosed,"Gurugram, Bengaluru",Shift - No shift premium (India)Responsibilities: . Design the architecture and environ...,Python,chatbot,csv,microsoft azure,jupyter notebook,numpy,technology solutions,artificial intelligence,7 Days Ago,Data_Science_Analytics,2.0,,Gurugram
SAS Business Analyst,Lericon Informatics,,,1-5 Yrs,Not disclosed,"Mumbai, Delhi / NCR, Bengaluru","Qualifications: Bachelors degree in BTech / BA, Computer Science, Information Systems, ...",Business Analysis,predictive modelling,data analysis,SAS,SAS programming,data visualization,SAS macros,statistical analysis,7 Days Ago,Data_Science_Analytics,1.0,,Mumbai
Senior Offering Management Specialist,Honeywell,4.0,345  Reviews,5-7 Yrs,Not disclosed,"Greater Noida, Bengaluru","You will use your knowledge and experience to put tools, processes, and metrics in plac...",Business objects,Data modeling,XML,Javascript,Market research,microsoft,Data mining,Portfolio management,7 Days Ago,Data_Science_Analytics,5.0,,Greater Noida
Data Scientist-Immediate Joiner-L1(HAckerrank)-please check your email,Altimetrik,3.8,867  Reviews,5-8 Yrs,Not disclosed,"Hybrid - Hyderabad, Chennai, Bengaluru","Location: Chennai, Bangalore, Pune, Hyderabad, JaipurTotal 5years, minimum 4 years rele...",python,NLP,generative AI,Machine Learning,SQL,Email,Natural language processing,Check,28 Days Ago,Data_Science_Analytics,5.0,,Hyderabad
Data Quality Consultant,Infosys,3.8,32518  Reviews,3-5 Yrs,Not disclosed,Hyderabad,Bachelor of Engineering . Service Line,Data Quality IDQ,quality assurance,technical risk planning,test planning,ETL,Data Quality Consultant,Data quality,Planning,2 Days Ago,Data_Science_Analytics,3.0,,Hyderabad
Specialist Business Functional Analyst ( Associate ),Deutsche Bank,4.0,2817  Reviews,4-6 Yrs,Not disclosed,Bengaluru,Role DescriptionBusiness Functional Analyst is responsible for business solution design...,Business intelligence,Data analysis,Excel,Power BI,Business Process Modeling,Tableau,SQL,Python,3 Days Ago,Data_Science_Analytics,4.0,,Bengaluru
AVP - Data Engineer,Deutsche Bank,4.0,2817  Reviews,10-15 Yrs,Not disclosed,Bengaluru,Role DescriptionInvestment Bank and Cross Product Operations (IBCPO) is fully integrate...,data analysis,SQL database,data modelling,system architecture,Machine learning,Alteryx,Data Engineer,operating model strategies,3 Days Ago,Data_Science_Analytics,10.0,,Bengaluru
Change Analyst - AVP,Deutsche Bank,4.0,2817  Reviews,5-10 Yrs,Not disclosed,Bengaluru,Role DescriptionThe Client Data Change & Transformation team supports the various opera...,Data Science,AI/ML Models,analytics solutions,Data Engineering,Algorithms,Data Structures,Natural Language Processing,Hadoop Spark,3 Days Ago,Data_Science_Analytics,5.0,,Bengaluru
AI / ML Engineer,Accenture,4.0,46775  Reviews,7-12 Yrs,Not disclosed,Bengaluru,"Could also include but not limited to deep learning, neural networks, chatbots, image p...",python,natural language processing,microsoft azure,pipeline,data munging,image processing,chatbot,c++,3 Days Ago,Data_Science_Analytics,7.0,,Bengaluru
AI / ML Engineer,Accenture,4.0,46775  Reviews,7-10 Yrs,Not disclosed,Bengaluru,"Could also include but not limited to deep learning, neural networks, chatbots, image p...",python,natural language processing,microsoft azure,pipeline,data munging,image processing,chatbot,c++,3 Days Ago,Data_Science_Analytics,7.0,,Bengaluru
Pharmacovigilance Services Sr Analyst,Accenture,4.0,46775  Reviews,3-5 Yrs,Not disclosed,Bengaluru,Skill required: Pharmacovigilance Services - Pharmacovigilance & Drug Safety Surveillan...,risk management,ssas,photoshop,meddra,data entry,technical writing,drug safety,arbortext epic editor,3 Days Ago,Data_Science_Analytics,3.0,,Bengaluru
AI / ML Engineer,Accenture,4.0,46775  Reviews,7-10 Yrs,Not disclosed,Hyderabad,"Could also include but not limited to deep learning, neural networks, chatbots, image p...",python,natural language processing,microsoft azure,pipeline,data munging,image processing,chatbot,c++,3 Days Ago,Data_Science_Analytics,7.0,,Hyderabad
AI / ML Engineer,Accenture,4.0,46775  Reviews,5-7 Yrs,Not disclosed,Bengaluru,"Could also include but not limited to deep learning, neural networks, chatbots, image p...",python,natural language processing,microsoft azure,pipeline,data munging,image processing,chatbot,c++,3 Days Ago,Data_Science_Analytics,5.0,,Bengaluru
AI / ML Engineer,Accenture,4.0,46775  Reviews,3-5 Yrs,Not disclosed,Bengaluru,"Could also include but not limited to deep learning, neural networks, chatbots, image p...",python,natural language processing,microsoft azure,pipeline,data munging,image processing,chatbot,c++,3 Days Ago,Data_Science_Analytics,3.0,,Bengaluru
AI / ML Engineer,Accenture,4.0,46775  Reviews,3-5 Yrs,Not disclosed,Bengaluru,"Could also include but not limited to deep learning, neural networks, chatbots, image p...",presentation skills,machine learning,aws lambda,aws,ml,image processing,algorithms,chatbot,3 Days Ago,Data_Science_Analytics,3.0,,Bengaluru
Pharmacovigilance Services Sr Analyst,Accenture,4.0,46775  Reviews,5-8 Yrs,Not disclosed,Bengaluru,Skill required: Pharmacovigilance Services - Pharmacovigilance & Drug Safety Surveillan...,risk management,ssas,photoshop,meddra,data entry,technical writing,drug safety,arbortext epic editor,3 Days Ago,Data_Science_Analytics,5.0,,Bengaluru
Data Science  Analyst,Pepsico,4.2,2138  Reviews,5-9 Yrs,Not disclosed,Hyderabad,OverviewMain Purpose: The Data Science will work in developing Machine Learning (ML) an...,Data Analysis,hive,continuous integration,python,github,deploying models,azure machine learning,pyspark,3 Days Ago,Data_Science_Analytics,5.0,,Hyderabad
Associate Manager - Insights,Pepsico,4.2,2138  Reviews,2-4 Yrs,Not disclosed,Hyderabad,Qualifications . Good experience and expertise across multiple standard continuous data...,Data analytics,advanced analytics,advanced excel,power bi,consumer insights,excel dashboards,Consumer,Data,3 Days Ago,Data_Science_Analytics,2.0,,Hyderabad
Analyst III Business Process Transactions,DXC Technology,3.8,8298  Reviews,2-5 Yrs,Not disclosed,Bengaluru,. Must be willing to work in US time zone (evening Shift)Minimum Graduate - Preferred G...,BPO,Business process,Claims,Excel,TPA,Analytical,Social media,MS Office Word,3 Days Ago,Data_Science_Analytics,2.0,,Bengaluru
Data Engineer,ANZ,4.2,891  Reviews,2-5 Yrs,Not disclosed,Bengaluru,"The role requires: . MS or BS in Computer Science, Engineering, Mathematics, Statistics...",spark,Finance,Cloud,Agile,Manager Technology,Data processing,big data,Financial services,3 Days Ago,Data_Science_Analytics,2.0,,Bengaluru
Data Analyst,ANZ,4.2,891  Reviews,1-5 Yrs,Not disclosed,Bengaluru,"Experience using languages such as SQL, Python, and VBA . Strong usage of agile tools l...",Career development,Data management,Trend analysis,Scheduling,Business intelligence,Oracle,Teradata,Customer engagement,3 Days Ago,Data_Science_Analytics,1.0,,Bengaluru
Data Scientist II,Meredith,3.9,23  Reviews,5-10 Yrs,Not disclosed,Bengaluru,"Degree / masters in Data Science, Mathematics, Statistics, or related field with 5+ yea...",data science,GCP,Machine learning,Programming,Mathematics,Scientist II,Scientist 1,Predictive analytics,3 Days Ago,Data_Science_Analytics,5.0,,Bengaluru
Data Engineer,Siemens,4.2,4024  Reviews,3-5 Yrs,Not disclosed,Bengaluru,Qualifications: . BE / BTech/MTech graduate . 3-5 years of experience as a Azure Data E...,spark,Data modeling,Coding,Postgresql,MySQL,Machine learning,Data quality,Oracle,3 Days Ago,Data_Science_Analytics,3.0,,Bengaluru
Analyst - Survey Scripting,Meredith,3.9,23  Reviews,3-5 Yrs,Not disclosed,Bengaluru,Must be able todevelop complex applications and models in Excel . Ability to build effe...,Analyst,Automation,Coding,Consulting,Web development,Javascript,Market research,HTML,3 Days Ago,Data_Science_Analytics,3.0,,Bengaluru
Data Scientist,IBM,4.1,19385  Reviews,2-6 Yrs,Not disclosed,Bengaluru,"As a Data Scientist at IBM, you will help transform our clients' data into tangible bus...",project management,sas,data mining,sql,predictive modeling,algorithms,applied mathematics,python,3 Days Ago,Data_Science_Analytics,2.0,,Bengaluru
AI / ML Engineer,Accenture,4.0,46775  Reviews,5-9 Yrs,Not disclosed,Hyderabad,"Could also include but not limited to deep learning, neural networks, chatbots, image p...",presentation skills,machine learning,aws lambda,aws,ml,image processing,algorithms,chatbot,3 Days Ago,Data_Science_Analytics,5.0,,Hyderabad
AI / ML Engineer,Accenture,4.0,46775  Reviews,7-11 Yrs,Not disclosed,Hyderabad,"Could also include but not limited to deep learning, neural networks, chatbots, image p...",python,natural language processing,microsoft azure,pipeline,data munging,image processing,chatbot,c++,3 Days Ago,Data_Science_Analytics,7.0,,Hyderabad
AI / ML Engineer,Accenture,4.0,46775  Reviews,5-9 Yrs,Not disclosed,Bengaluru,"Could also include but not limited to deep learning, neural networks, chatbots, image p...",presentation skills,machine learning,aws lambda,aws,ml,image processing,algorithms,chatbot,3 Days Ago,Data_Science_Analytics,5.0,,Bengaluru
AI / ML Engineer,Accenture,4.0,46775  Reviews,3-5 Yrs,Not disclosed,Hyderabad,Project Role :AI / ML EngineerProject Role Description :Develops applications and syste...,python,natural language processing,microsoft azure,pipeline,data munging,image processing,chatbot,c++,3 Days Ago,Data_Science_Analytics,3.0,,Hyderabad
AI / ML Engineer,Accenture,4.0,46775  Reviews,3-5 Yrs,Not disclosed,Hyderabad,"Could also include but not limited to deep learning, neural networks, chatbots, image p...",python,natural language processing,microsoft azure,pipeline,data munging,image processing,chatbot,c++,3 Days Ago,Data_Science_Analytics,3.0,,Hyderabad
Senior Analyst - Reporting and Analytics,Deloitte,3.9,14256  Reviews,4-7 Yrs,Not disclosed,Hyderabad,"Senior Analyst, Data-Marts - Data Reporting & Insights- Digital Data Analytics Innovati...",MS Azure SQL,HTML 5,CSS,SQL Server,Jquery,Tableau,SSIS,JavaScript,3 Days Ago,Data_Science_Analytics,4.0,,Hyderabad
AI / ML Engineer,Accenture,4.0,46775  Reviews,3-8 Yrs,Not disclosed,Bengaluru,"Could also include but not limited to deep learning, neural networks, chatbots, image p...",python,natural language processing,hyperion essbase,pipeline,cube,image processing,chatbot,c++,3 Days Ago,Data_Science_Analytics,3.0,,Bengaluru
AI / ML Engineer,Accenture,4.0,46775  Reviews,3-8 Yrs,Not disclosed,Bengaluru,"Could also include but not limited to deep learning, neural networks, chatbots, image p...",python,natural language processing,microsoft azure,pipeline,data munging,image processing,chatbot,c++,3 Days Ago,Data_Science_Analytics,3.0,,Bengaluru
AI / ML Engineer,Accenture,4.0,46775  Reviews,5-8 Yrs,Not disclosed,Bengaluru,"Could also include but not limited to deep learning, neural networks, chatbots, image p...",python,natural language processing,microsoft azure,pipeline,data munging,image processing,chatbot,c++,3 Days Ago,Data_Science_Analytics,5.0,,Bengaluru
AI / ML Engineer,Accenture,4.0,46775  Reviews,5-8 Yrs,Not disclosed,Bengaluru,"Could also include but not limited to deep learning, neural networks, chatbots, image p...",presentation skills,machine learning,aws lambda,aws,ml,image processing,algorithms,chatbot,3 Days Ago,Data_Science_Analytics,5.0,,Bengaluru
AI / ML Engineer,Accenture,4.0,46775  Reviews,5-10 Yrs,Not disclosed,Bengaluru,"Could also include but not limited to deep learning, neural networks, chatbots, image p...",python,natural language processing,microsoft azure,pipeline,data munging,image processing,chatbot,c++,3 Days Ago,Data_Science_Analytics,5.0,,Bengaluru
AI / ML Engineer,Accenture,4.0,46775  Reviews,3-8 Yrs,Not disclosed,Hyderabad,"Could also include but not limited to deep learning, neural networks, chatbots, image p...",python,natural language processing,microsoft azure,pipeline,data munging,image processing,chatbot,c++,3 Days Ago,Data_Science_Analytics,3.0,,Hyderabad
Business Analyst,Accenture,4.0,46775  Reviews,3-7 Yrs,Not disclosed,Bengaluru,Project Role :Business AnalystProject Role Description :Analyze an organization and des...,project management,process design,business analysis,technology solutions,business requirement analysis,data analysis,gap analysis,power bi,3 Days Ago,Data_Science_Analytics,3.0,,Bengaluru
AI / ML Engineer,Accenture,4.0,46775  Reviews,3-8 Yrs,Not disclosed,Bengaluru,Project Role :AI / ML EngineerProject Role Description :Develops applications and syste...,sap,natural language processing,jdbc,rfc,soap,image processing,chatbot,python,3 Days Ago,Data_Science_Analytics,3.0,,Bengaluru
Analyst- Data Sciences- Deloitte Support Services,Deloitte,3.9,14256  Reviews,1-3 Yrs,Not disclosed,Hyderabad,Work youll doThe Deloitte Technology US is seeking a Data Scientist who will work as pa...,Deloitte Support Services,algorithms,python,data security,microsoft azure,data architecture,machine learning,azure cloud platform,3 Days Ago,Data_Science_Analytics,1.0,,Hyderabad
A&A -Sr. Data Scientist - AI POD,Deloitte,3.9,14256  Reviews,3-7 Yrs,Not disclosed,Bengaluru,"Undergraduate degree in a quantitative field (computer science, engineering, mathematic...",Data Science,Azure ML,NLP,GitHub,Pandas,Jira,Azure DevOps,NumPy,4 Days Ago,Data_Science_Analytics,3.0,,Bengaluru
Data Analyst - GESTC-Senior Consultant,Deloitte,3.9,14256  Reviews,5-7 Yrs,Not disclosed,Hyderabad,"Experience defining, implementing, and operationalizing new features and product-level ...",SQL queries,e360,Data Management,MDM,IDQ,AXON,Data Governance,Data Storage management,4 Days Ago,Data_Science_Analytics,5.0,,Hyderabad
A&A - Data Science- Manager,Deloitte,3.9,14256  Reviews,10-14 Yrs,Not disclosed,Bengaluru,You will be joining our collaborative Data Science team which leverages the most advanc...,Data Science,Azure,LangChain,Jira,Jenkins,PyTorch,Docker,GCP,4 Days Ago,Data_Science_Analytics,10.0,,Bengaluru
Analyst/Senior Analyst - CMG - GPS - Proposal Coordinator - Hyderabad,Deloitte,3.9,14256  Reviews,1-6 Yrs,Not disclosed,Hyderabad,"Synthesize data from all sources, determine essential areas and apply results to pursui...",Proposal Management,bid management,proposal development,project management,proposal writing,bidding,Development,Senior,4 Days Ago,Data_Science_Analytics,1.0,,Hyderabad
MF-UK ESS-Analyst,Deloitte,3.9,14256  Reviews,3-4 Yrs,Not disclosed,Hyderabad,Engagement Support Services (ESS) Analyst Deloitte Support Services India Private Limit...,Engagement Support,transaction processing,marketing,it marketing,customer service,financial reporting,finance,helpdesk support,4 Days Ago,Data_Science_Analytics,3.0,,Hyderabad
Assistant Manager - Reporting and Analytics,Deloitte,3.9,14256  Reviews,6-10 Yrs,Not disclosed,Hyderabad,"Specialist Assistant Manager, Data-Marts & Reporting - Reporting and Analytics- Digital...",SQL Server,Azure Data Factory,MS Azure,.Net,AWS Cloud,Tableau,SSIS,Business intelligence,4 Days Ago,Data_Science_Analytics,6.0,,Hyderabad
Risk BA,Capgemini,3.8,34601  Reviews,4-6 Yrs,Not disclosed,Bengaluru,"Knowledge in Capital Market, Risk, Regulatory & Compliance Experience on Market Risk, C...",Business Analysis,Risk BA,Confluence,credit risk,brd,market risk,frd,agile,4 Days Ago,Data_Science_Analytics,4.0,,Bengaluru
Measurement & Report Senior Analyst,Accenture,4.0,46775  Reviews,5-8 Yrs,Not disclosed,Bengaluru,You will also be responsible for closing the fault and complaints within SLA s.Candidat...,microsoft power bi,business reporting,vlookup,powerapps,mysql,project management,data analysis,mis reporting,4 Days Ago,Data_Science_Analytics,5.0,,Bengaluru
Measurement & Report Senior Analyst,Accenture,4.0,46775  Reviews,5-8 Yrs,Not disclosed,Bengaluru,You will also be responsible for closing the fault and complaints within SLA s.Candidat...,microsoft power bi,business reporting,vlookup,powerapps,mysql,project management,data analysis,mis reporting,4 Days Ago,Data_Science_Analytics,5.0,,Bengaluru
AI / ML Engineer,Accenture,4.0,46775  Reviews,8-13 Yrs,Not disclosed,Bengaluru,"Professional Attributes :1 Good in Team Handling 2 Good in verbal, Written communicatio...",python,vertica,machine learning,sql,etl,hive,chatbot,oracle,4 Days Ago,Data_Science_Analytics,8.0,,Bengaluru
Innovation Manager,"Qualcomm Technologies, Inc",4.0,801  Reviews,10-15 Yrs,Not disclosed,Hyderabad,Accountable for adoption of Intelligent Automation (RPA to AI) technologies to drive b...,Mining,Staffing,Process improvement,QlikView,IT management,Information technology,Operations,Analytics,3 Days Ago,Data_Science_Analytics,10.0,,Hyderabad
Data Engineer,Ericsson,4.3,6278  Reviews,2-5 Yrs,Not disclosed,Bengaluru,"Python Development: Write clean, efficient, and maintainable Python code to support ...",Automation,Data management,Analytical,Machine learning,Data collection,data governance,Data processing,Data quality,3 Days Ago,Data_Science_Analytics,2.0,,Bengaluru
Analyst,ANZ,4.2,891  Reviews,1-5 Yrs,Not disclosed,Bengaluru,The ability to determine and document a list of what needs to be achieved and the work ...,Loans,XML,Windows,Visio,Troubleshooting,Continuous improvement,SSIS,Financial services,4 Days Ago,Data_Science_Analytics,1.0,,Bengaluru
Staff Deep Learning & Generative AI Expert,"Qualcomm Technologies, Inc",4.0,801  Reviews,9-14 Yrs,Not disclosed,Hyderabad,This is an excellent opportunity to take advantage of emerging trends and technologies ...,Process design,deep learning,Architecture,Database design,Staffing,Artificial Intelligence,Machine learning,Information technology,4 Days Ago,Data_Science_Analytics,9.0,,Hyderabad
Data Scientist (Analytics),Philips,3.9,1324  Reviews,4-8 Yrs,Not disclosed,Bengaluru,"You will use the latest analytical techniques such as machine learning, deep learning...",Data analysis,data science,Business analytics,Analytical,Diversity and Inclusion,Machine learning,Healthcare,Operations,4 Days Ago,Data_Science_Analytics,4.0,,Bengaluru
Data Scientist - AI / ML,Philips,3.9,1324  Reviews,4-8 Yrs,Not disclosed,Bengaluru,Provide support with guidance to solve complex problems in medical image processing a...,EMI,Computer vision,C++,Image processing,Diagnostics,Healthcare,EMC,MATLAB,4 Days Ago,Data_Science_Analytics,4.0,,Bengaluru
Measurement & Report Associate Manager,Accenture,4.0,46775  Reviews,10-14 Yrs,Not disclosed,Bengaluru,Skill required: Business Reporting & Governance - Microsoft Power BIDesignation: Measur...,microsoft power bi,business reporting,management reporting,mis,mysql,operations management,data analysis,data analytics,4 Days Ago,Data_Science_Analytics,10.0,,Bengaluru
Measurement & Report Specialist,Accenture,4.0,46775  Reviews,7-11 Yrs,Not disclosed,Bengaluru,You will also be responsible for closing the fault and complaints within SLA s.Candidat...,business reporting,vlookup,powerapps,vba,mis,microsoft power bi,project management,data analysis,4 Days Ago,Data_Science_Analytics,7.0,,Bengaluru
Business Transformation Manager,Accenture,4.0,46775  Reviews,13-18 Yrs,Not disclosed,Bengaluru,"Please note that this role may require you to work in rotational shifts"" Qualification ...",nas,project management,data analytics,data analysis,business transformation,operations management,process excellence,program management,4 Days Ago,Data_Science_Analytics,13.0,,Bengaluru
HR Learning Assistant Analyst,Pepsico,4.2,2138  Reviews,5-7 Yrs,Not disclosed,Hyderabad,5+ years experience in L&DExperience with coordinating execution of large scale L&D pro...,HR,HR Learning Assistant,data analysis,data analytics,logistics management,advanced excel,L&D,Logistics,4 Days Ago,Data_Science_Analytics,5.0,,Hyderabad
Business Analyst,Accenture,4.0,46775  Reviews,3-5 Yrs,Not disclosed,Bengaluru,Minimum 3 year(s) of experience is required. Educational Qualification : Post-Graduate ...,process design,business analysis,brd,frd,requirement analysis,project management,data analysis,gap analysis,5 Days Ago,Data_Science_Analytics,3.0,,Bengaluru
Business Analyst,Accenture,4.0,46775  Reviews,3-5 Yrs,Not disclosed,Bengaluru,"Research, gather and synthesize information. Must have skills : SAP Integrated Business...",sap,sap business planning and consolidation,business process management,stakeholder management,ibp,project management,data analytics,management skills,5 Days Ago,Data_Science_Analytics,3.0,,Bengaluru
Business Analyst,Accenture,4.0,46775  Reviews,5-7 Yrs,Not disclosed,Bengaluru,Technical Experience :a Familiar working with AWS or Microsoft Azure or Google Cloud Pl...,microsoft azure,gcp,scrum,business technology,aws,cbap,cspo,project management,5 Days Ago,Data_Science_Analytics,5.0,,Bengaluru
Responsible AI Engineer,Accenture,4.0,46775  Reviews,7-9 Yrs,Not disclosed,Bengaluru,Design and implement technology mitigation strategies for systems to ensure ethical and...,python,natural language processing,presentation skills,r,solr,algorithms,emerging technologies,nltk,5 Days Ago,Data_Science_Analytics,7.0,,Bengaluru
AI / ML Engineer,Accenture,4.0,46775  Reviews,10-14 Yrs,Not disclosed,Bengaluru,Project Role Description : Develops applications and systems that utilize AI to improve...,python,natural language processing,data mining,nltk,computer vision,image processing,algorithms,chatbot,5 Days Ago,Data_Science_Analytics,10.0,,Bengaluru
Global Research Specialist,Teleperformance (TP),3.8,22932  Reviews,3-5 Yrs,Not disclosed,Bengaluru(Marathahalli),"Through a proprietary database and methodology, the CX Lab provides reports and insight...",Global Research,data analytics,data analysis,sas,spss,power bi,business analysis,research analysis,5 Days Ago,Data_Science_Analytics,3.0,,Bengaluru(Marathahalli)
"Data Scientist - AI/ML, Python and NoSQL",IBM,4.1,19385  Reviews,3-8 Yrs,Not disclosed,Bengaluru,. We are seeking an experienced data scientist with a good understanding of AI and Mach...,python,machine learning,artificial intelligence,pandas,tensorflow,github,scikit-learn,microsoft azure,5 Days Ago,Data_Science_Analytics,3.0,,Bengaluru
Data Scientist,HP India,4.2,582  Reviews,4-8 Yrs,Not disclosed,Bengaluru,"Our innovation springs from a team of individuals, each collaborating and contributing ...",Data Science,arima,deep learning,python,r,regression analysis,power bi,random forest,5 Days Ago,Data_Science_Analytics,4.0,,Bengaluru
Junior Classification,HP India,4.2,582  Reviews,2-4 Yrs,Not disclosed,Bengaluru,"Four-year or Graduate Degree in Law, Business Administration, or any other related disc...",trade compliance,customs global trade,data analysis,knowledge sharing,customer centric,customs,knowledge management,international trade,5 Days Ago,Data_Science_Analytics,2.0,,Bengaluru
Data Architect,HP India,4.2,582  Reviews,10-14 Yrs,Not disclosed,Bengaluru,The role understands current complex business problems and future business strategy to ...,Python,deep learning,r,data science,predictive modeling,statistical modeling,machine learning,artificial intelligence,5 Days Ago,Data_Science_Analytics,10.0,,Bengaluru
Solutions Analytics Architect,HP India,4.2,582  Reviews,7-10 Yrs,Not disclosed,Bengaluru,"Four-year or Graduate Degree in Computer Science, Statistics, Mathematics, Data Science...",Python,deep learning,tensorflow,data science,pytorch,business analytics,machine learning,artificial intelligence,5 Days Ago,Data_Science_Analytics,7.0,,Bengaluru
Machine Learning (ML) Engineer,HP India,4.2,582  Reviews,7-10 Yrs,Not disclosed,Bengaluru,"Four-year or Graduate Degree in Computer Science, Statistics, Mathematics, Data Science...",Machine Learning,deep learning,python,tensorflow,c++,pytorch,business analytics,artificial intelligence,5 Days Ago,Data_Science_Analytics,7.0,,Bengaluru
HR Learning Asst. Analyst,Pepsico,4.2,2138  Reviews,5-7 Yrs,Not disclosed,Hyderabad,5+ years experience in L&DExperience with coordinating execution of large scale L&D pro...,HR,vendor evaluation,program coordination,vendor engagement,Learning and development,Assistance,Development,Vendor,5 Days Ago,Data_Science_Analytics,5.0,,Hyderabad
Business Analyst,Accenture,4.0,46775  Reviews,5-7 Yrs,Not disclosed,Hyderabad,Project Role :Business AnalystProject Role Description :Analyze an organization and des...,ms dynamics crm,microsoft dynamics,business analysis,business process analysis,microsoft dynamics ax,project management,gap analysis,user stories,5 Days Ago,Data_Science_Analytics,5.0,,Hyderabad
Data Science Analytics Sr Analyst,Accenture,4.0,46775  Reviews,5-8 Yrs,Not disclosed,Bengaluru,Strong presentation skills.Education / Certification requirement: Bachelors degree in S...,python,data analysis,presentation skills,sql,supply chain operations,advanced analytics,predictive analytics,process optimization,5 Days Ago,Data_Science_Analytics,5.0,,Bengaluru
Business Advisory Senior Analyst,Accenture,4.0,46775  Reviews,5-8 Yrs,Not disclosed,Hyderabad,Please note that this role may require you to work in rotational shifts Qualification A...,quality control,business advisory,power bi,reporting and analytics,mis,management consulting,python,project management,5 Days Ago,Data_Science_Analytics,5.0,,Hyderabad
Data Scientist II,Honeywell,4.0,345  Reviews,4-6 Yrs,Not disclosed,Bengaluru,"Driving Infinite Possibilities Within A Diversified, Global Organization    Collabora...",SQL queries,tableau,Analytical,power bi,Data analytics,Analyst II,Scientist II,Python,5 Days Ago,Data_Science_Analytics,4.0,,Bengaluru
